Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3277.56,3274.65,8604.18,436732.75
3277.89,3274.97,8624.41,439558.39
3278.22,3275.3,8647.48,442392.5
3278.54,3275.63,8676.12,445233.7
3278.87,3275.96,8703.87,448085.71
3279.2,3276.29,8735.72,450945.71
3279.53,3276.61,8764.16,453815.83
3279.86,3276.94,8787.33,456696.24
3280.18,3277.27,8812.28,459582.55
3280.51,3277.6,8838.42,462479.19
3280.84,3277.93,8861.92,465382.06
3281.17,3278.26,8888.56,468293.1
3281.5,3278.58,8919.48,471215.35
3281.82,3278.91,8956.09,474146.57
3282.15,3279.24,9027.1,477096.5
3282.48,3279.57,9111.78,480071.04
3282.81,3279.9,9207.54,483075.51
3283.14,3280.22,9310.96,486113.97
3283.46,3280.55,9435.24,489188.04
3283.79,3280.88,9555.01,492304.64
3284.12,3281.21,9658.53,495455.93
3284.45,3281.54,9767.79,498641.98
3284.78,3281.86,9855.02,501862.62
3285.11,3282.19,9942.38,505109.67
3285.43,3282.52,10010.6,508384.23
3285.76,3282.85,10068.69,511677.62
3286.09,3283.18,10114.98,514988.05
3286.42,3283.5,10155.1,518314.54
3286.75,3283.83,10191.28,521651.42
3287.07,3284.16,10223.42,525001.63
3287.4,3284.49,10254.49,528360.06
3287.73,3284.82,10283.98,531728.46
3288.06,3285.14,10311.15,535108.25
3288.39,3285.47,10336.64,538494.59
3288.71,3285.8,10361.08,541891.17
3289.04,3286.13,10385.04,545293.59
3289.37,3286.46,10408.52,548703.79
3289.7,3286.79,10430.9,552123.64
3290.03,3287.11,10452.63,555548.58
3290.35,3287.44,10473.6,558982.65
3290.68,3287.77,10493.8,562421.37
3291.01,3288.1,10514.02,565866.71
3291.34,3288.43,10534.36,569320.76
3291.67,3288.75,10554.11,572779.35
3291.99,3289.08,10573.41,576246.42
3292.32,3289.41,10593.49,579717.85
3292.65,3289.74,10613.06,583195.76
3292.98,3290.07,10632.57,586682.22
3293.31,3290.39,10651.96,590172.95
3293.64,3290.72,10670.67,593672.04
3293.96,3291.05,10691.6,597175.43
3294.29,3291.38,10713.75,600685.96
3294.62,3291.71,10734.32,604205.69
3294.95,3292.03,10754.51,607729.89
3295.28,3292.36,10776.24,611263.13
3295.6,3292.69,10799.33,614801.53
3295.93,3293.02,10822.14,618347.51
3296.26,3293.35,10845.81,621903.21
3296.59,3293.68,10873.57,625465.17
3296.92,3294,10903.06,629038.84
3297.24,3294.33,10931.76,632619.74
3297.57,3294.66,10962.18,636210.27
3297.9,3294.99,10993.1,639813.23
3298.23,3295.32,11023.56,643423.95
3298.56,3295.64,11054.4,647046.94
3298.88,3295.97,11086.82,650678.15
3299.21,3296.3,11121.8,654320.37
3299.54,3296.63,11155.81,657976.28
3299.87,3296.96,11187.87,661640.73
3300.2,3297.28,11219.33,665317.81
3300.53,3297.61,11254.31,669003.39
3300.85,3297.94,11289.38,672700.63
3301.18,3298.27,11321.76,676411.24
3301.51,3298.6,11354.09,680130.16
3301.84,3298.92,11387.23,683862.03
3302.17,3299.25,11417.85,687602.23
3302.49,3299.58,11446.57,691352.09
3302.82,3299.91,11475.21,695113.64
3303.15,3300.24,11501.93,698882
3303.48,3300.56,11527.64,702661.23
3303.81,3300.89,11553.12,706446.55
3304.13,3301.22,11578.4,710240.16
3304.46,3301.55,11603.05,714044.33
3304.79,3301.88,11627.2,717854.15
3305.12,3302.21,11651.76,721674.3
3305.45,3302.53,11675.26,725499.99
3305.77,3302.86,11699.64,729333.51
3306.1,3303.19,11724.37,733177.42
3306.43,3303.52,11750.19,737027.29
3306.76,3303.85,11775.9,740888.02
3307.09,3304.17,11800.5,744754.63
3307.41,3304.5,11824.85,748629.23
3307.74,3304.83,11849.23,752514.22
3308.07,3305.16,11873.33,756404.76
3308.4,3305.49,11898.04,760305.71
3308.73,3305.81,11923.4,764212.44
3309.06,3306.14,11948.66,768127.54
3309.38,3306.47,11973.29,772053.2
3309.71,3306.8,11997.89,775984.52
3310.04,3307.13,12024.61,779926.58
3310.37,3307.45,12050.63,783875.07
3310.7,3307.78,12076.13,787831.86
3311.02,3308.11,12102.93,791799.63
3311.35,3308.44,12131.79,795774.16
3311.68,3308.77,12164.05,799760.96
3312.01,3309.09,12199.65,803756.76
3312.34,3309.42,12231.55,807763.55
3312.66,3309.75,12260.97,811782.93
3312.99,3310.08,12289.85,815809.28
3313.32,3310.41,12319.59,819847.72
3313.65,3310.74,12351.54,823893.79
3313.98,3311.06,12386.34,827950.8
3314.3,3311.39,12419.35,832021.61
3314.63,3311.72,12448.42,836100.04
3314.96,3312.05,12475.84,840190.27
3315.29,3312.38,12501.87,844286.7
3315.62,3312.7,12525.87,848391.35
3315.94,3313.03,12549.8,852506.33
3316.27,3313.36,12573.33,856626.56
3316.6,3313.69,12596.94,860757.11
3316.93,3314.02,12620.07,864892.75
3317.26,3314.34,12642.96,869035.94
3317.59,3314.67,12665.99,873189.2
3317.91,3315,12689.23,877347.5
3318.24,3315.33,12713.03,881516.06
3318.57,3315.66,12737.87,885690.02
3318.9,3315.98,12763.85,889872.34
3319.23,3316.31,12791.21,894065.94
3319.55,3316.64,12820.39,898266.2
3319.88,3316.97,12850.27,902478.87
3320.21,3317.3,12879.28,906698.59
3320.54,3317.63,12908.46,910927.82
3320.87,3317.95,12939.1,915169.45
3321.19,3318.28,12969.72,919418.63
3321.52,3318.61,12999.25,923680.2
3321.85,3318.94,13028.12,927948.8
3322.18,3319.27,13055.78,932226.64
3322.51,3319.59,13084.85,936516.26
3322.83,3319.92,13119.03,940813.58
3323.16,3320.25,13164.49,945126.65
3323.49,3320.58,13206.52,949451.77
3323.82,3320.91,13244.23,953789.8
3324.15,3321.23,13279.35,958142.34
3324.48,3321.56,13319.48,962504.43
3324.8,3321.89,13365.21,966883.35
3325.13,3322.22,13408.52,971274.38
3325.46,3322.55,13448.77,975679.12
3325.79,3322.87,13490.68,980099.96
3326.12,3323.2,13533.04,984531.87
3326.44,3323.53,13573.26,988980.26
3326.77,3323.86,13608.65,993438.26
3327.1,3324.19,13643.5,997907.66
3327.43,3324.51,13679.98,1002391.46
3327.76,3324.84,13727.8,1006885.99
3328.08,3325.17,13783.83,1011401
3328.41,3325.5,13822.3,1015928.68
3328.74,3325.83,13855.89,1020468.12
3329.07,3326.16,13887.33,1025020.85
3329.4,3326.48,13918.96,1029581.14
3329.72,3326.81,13951.99,1034154.75
3330.05,3327.14,13988.96,1038737.17
3330.38,3327.47,14020.68,1043330.98
3330.71,3327.8,14050.22,1047937.5
3331.04,3328.12,14080.77,1052551.04
3331.36,3328.45,14112.28,1057177.6
3331.69,3328.78,14141.84,1061811.42
3332.02,3329.11,14170.35,1066454.69
3332.35,3329.44,14198.47,1071110.12
3332.68,3329.76,14225.78,1075771.78
3333.01,3330.09,14254.59,1080445.63
3333.33,3330.42,14280.82,1085125.51
3333.66,3330.75,14307.14,1089814
3333.99,3331.08,14334.35,1094514.11
